id,en,jp,trans
0-chapter_name,,第1話 喝采なき帰還,第1話 喝采なき帰還
0-synopsis,,姬塔達は魔物が出る街道の途中で、護衛の男に大金を吹っかけられた末に置き去りにされてしまった商人と出会う。商人を気の毒に思った姬塔一行は、共にアイルスト王国の城下町だった街へ向かうことにする。,姬塔達は魔物が出る街道の途中で、護衛の男に大金を吹っかけられた末に置き去りにされてしまった商人と出会う。商人を気の毒に思った姬塔一行は、共にアイルスト王国の城下町だった街へ向かうことにする。
0,,街まではもう一息だ。,距离城镇还有一点距离。
1,,あれ？　あそこに人が……<br>なんだか揉めてるみたいです。,咦？那边的人...<br>好像有在吵架的样子。
4,,なぁ、困るよアンタ！<br>街までもう一息だってのに……,喂...这不是超困扰的吗？<br>明明都快到城镇了...
5,,うるせェな……<br>ごちゃごちゃ言ってねェで<br>きっちり金を払いな！,吵死了<br>废话少说<br>赶快把报酬交出来！
6,,約束が違うじゃないか！<br>前払いで半分、街に着いたらもう半分、<br>で話がついてたろう！,这和事先说好的不一样啊！<br>先付一半，到城镇之后再付另一半<br>不是这样说好的嘛！
7,,それをなんだって、<br>こんな街道のど真ん中で<br>追加料金だなんて……,到底为何要在途中<br>说什么都要追加报酬...
8,,あぁ～？<br>文句があるならこのまま置いてくぜ？<br>魔物に襲われねェか見ものだなァ！,啊？<br>再啰啰嗦嗦的就把你丢在这里哦<br>被魔物袭击了我可不管！
9,,えぇっ！？,咦！？
10,,はははははっ！<br>いーい見せしめだ。<br>荷物ごと魔物に食われちまいな！,哈哈哈哈哈！<br>那还真是活该。<br>你就连着你的东西一起被魔物吃掉吧！
14,,護衛と物別れしたのか！？<br>この辺りは魔物が出るというのに！,跟护卫分开了吗！？<br>附近明明常有魔物出现的！
15,,あのおっさん、<br>あのまんまじゃ危ねぇよな！<br>話聞きに行こうぜ、姬塔！,那个大叔<br>放他一个人在那边很危险吧！<br>我们去搭个话吧、姬塔！
18,,あぁ……！<br>ど、どうすれば……！,啊啊...<br>这可该怎么办呀...！
19,,おじさ～ん！<br>どうしたんですかー？,大叔！<br>请问怎么了呢？
20,,<span class='scene-font-katari'>そばへ駆け寄った姬塔達に、</span><br><span class='scene-font-katari'>商人は青ざめた顔で事情を語った。</span>,<span class='scene-font-katari'>商人一脸铁青的向赶来的一行人</span><br><span class='scene-font-katari'>诉说刚刚发生的事情。</span>
21,,<span class='scene-font-katari'>雇った護衛が約束以上の金を要求し、</span><br><span class='scene-font-katari'>それを断ると商人を置いて</span><br><span class='scene-font-katari'>立ち去ってしまったというのだ。</span>,<span class='scene-font-katari'>雇佣的护卫突然要求更多的报酬</span><br><span class='scene-font-katari'>而商人拒绝后</span><br><span class='scene-font-katari'>就被对方丢在这里了。</span>
22,,なんだってぇ！？<br>ひでぇ護衛だな、許せねぇぜ！,你说什么！？<br>这护卫也太过分了，不可原谅！
23,,宿場町を抜けて<br>会議所のある街まで<br>護衛を頼んでたんですが……,因为要从旅馆街出发<br>到会议所去一趟<br>所以才雇佣护卫的说...
24,,……会議所？<br>初めて聞く名だな。,会议所？<br>第一次听到这个名字呢。
25,,ああ、元々は王様のお城だったのを<br>今は会議所として<br>利用しているんですよ。,哦，那原本是王城<br>不过现在已经被当成会议所使用了。
26,,なるほど……<br>では貴殿の目的地は城下町か。,原来如此...<br>那么阁下的目的地是王都啊。
27,,なぁ姬塔、おっさんの護衛<br>オイラ達が引き受けてやろうぜ！,我说啊...姬塔<br>大叔的护卫工作干脆就让我们来做吧！
28,,なんと！　お願いできるんですか！？,嗷嗷！<br>真的可以拜托你们吗！？
29,,ノイシュさんも、<br>それでいいですか？,诺伊修<br>应该没问题吧？
30,,実は、私が姬塔殿達を<br>案内しようとしていたのも<br>城下町なんだ。,其实，我最想带你们去的地方<br>就是王都。
31,,このまま置いていくわけには<br>いくまい。　同行しよう。,就这样把阁下丢在这里也不是办法<br>就让我们一起同行吧。
32,,ありがたい……<br>このご恩は一生忘れません！,太感激了...<br>我一生都不会忘记恩情的！
33,,そうとなれば、ひとところに<br>これ以上留まるのは危ない。<br>先を急ごう、姬塔殿。,既然决定了就赶快离开吧<br>继续留在这里很危险<br>赶紧上路吧，姬塔殿下。
info,,1,scene_evt150930_cp1_q1_s20
